serial number,account_info,duration_month,Loan,Regularity,Purpose,credit_amount,savings_account,Saving Account,employment_st,Salary,investment,Gender,Status,gurantors,resident_since,property_type,age,installment_type,housing_type,credits_no,job_type,liables,telephone,foreigner
1,BRONZE,6,YES,NO,A40,1169,A65,NA,A75,852,34.08,M,Umarried,A101,4,A121,67,A143,A152,2,A173,1,A192,A201
2,SILVER,48,YES,YES,A40,5951,A61,72,A73,2400,48,F,Divorced,A101,2,A121,22,A143,A152,1,A173,1,A191,A201
3,NA,12,YES,NO,A46,2096,A61,68,A74,2078,41.56,M,Umarried,A101,3,A121,49,A143,A152,1,A172,2,A191,A201
4,BRONZE,42,YES,YES,A40,7882,A61,73,A74,2380,47.6,M,Umarried,A103,4,A122,45,A143,A153,1,A173,2,A191,A201
5,BRONZE,24,YES,NO,A40,4870,A61,52,A73,1756,52.68,M,Umarried,A101,4,A124,53,A143,A153,2,A173,2,A191,A201
6,NA,36,YES,YES,A46,9055,A65,NA,A73,2363,47.26,M,Umarried,A101,4,A124,35,A143,A153,1,A172,2,A192,A201
7,NA,24,YES,YES,A40,2835,A63,990,A75,1567,47.01,M,Umarried,A101,4,A122,53,A143,A152,1,A173,1,A191,A201
8,SILVER,36,YES,YES,A40,6948,A61,98,A73,2305,46.1,M,Umarried,A101,2,A123,35,A143,A151,1,A174,1,A192,A201
9,NA,12,YES,YES,A40,3059,A64,2641,A74,1891,37.82,M,Divorced,A101,4,A121,61,A143,A152,1,A172,1,A191,A201
10,SILVER,30,YES,NO,A40,5234,A61,14,A71,964,38.56,M,Married,A101,2,A123,28,A143,A152,2,A174,1,A191,A201
11,SILVER,12,YES,YES,A40,1295,A61,90,A72,1787,53.61,F,Divorced,A101,1,A123,25,A143,A151,1,A173,1,A191,A201
12,BRONZE,48,YES,YES,A49,4308,A61,28,A72,1770,53.1,F,Divorced,A101,4,A122,24,A143,A151,1,A173,1,A191,A201
13,SILVER,12,YES,YES,A40,1567,A61,33,A73,2847,28.47,F,Divorced,A101,1,A123,22,A143,A152,1,A173,1,A192,A201
14,BRONZE,24,YES,NO,A40,1199,A61,33,A75,781,31.24,M,Umarried,A101,4,A123,60,A143,A152,2,A172,1,A191,A201
15,BRONZE,15,YES,YES,A40,1403,A61,64,A73,2165,43.3,F,Divorced,A101,4,A123,28,A143,A151,1,A173,1,A191,A201
16,BRONZE,24,YES,YES,A40,1282,A62,408,A73,844,33.76,F,Divorced,A101,2,A123,32,A143,A152,1,A172,1,A191,A201
17,NA,24,YES,NO,A40,2424,A65,NA,A75,760,30.4,M,Umarried,A101,4,A122,53,A143,A152,2,A173,1,A191,A201
18,BRONZE,30,NO,YES,A49,8072,A65,NA,A72,1888,37.76,M,Umarried,A101,3,A123,25,A141,A152,3,A173,1,A191,A201
19,SILVER,24,YES,YES,A40,12579,A61,47,A75,770,30.8,F,Divorced,A101,2,A124,44,A143,A153,1,A174,1,A192,A201
20,NA,24,YES,YES,A40,3430,A63,559,A75,1649,49.47,M,Umarried,A101,2,A123,31,A143,A152,1,A173,2,A192,A201
21,NA,9,YES,NO,A40,2134,A61,16,A73,1111,44.44,M,Umarried,A101,4,A123,48,A143,A152,3,A173,1,A192,A201
22,BRONZE,6,YES,YES,A40,2647,A63,790,A73,2445,48.9,M,Umarried,A101,3,A121,44,A143,A151,1,A173,2,A191,A201
23,BRONZE,10,YES,NO,A40,2241,A61,87,A72,3294,32.94,M,Umarried,A101,3,A121,48,A143,A151,2,A172,2,A191,A202
24,SILVER,12,YES,NO,A40,1804,A62,473,A72,1333,39.99,M,Umarried,A101,4,A122,44,A143,A152,1,A173,1,A191,A201
25,NA,10,YES,NO,A40,2069,A65,NA,A73,2569,51.38,M,Married,A101,1,A123,26,A143,A152,2,A173,1,A191,A202
26,BRONZE,6,YES,YES,A40,1374,A61,35,A73,3354,33.54,M,Umarried,A101,2,A121,36,A141,A152,1,A172,1,A192,A201
27,NA,6,NO,YES,A40,426,A61,76,A75,714,28.56,M,Married,A101,4,A123,39,A143,A152,1,A172,1,A191,A201
28,GOLD,12,NO,YES,A40,409,A64,1875,A73,1382,41.46,F,Divorced,A101,3,A121,42,A143,A151,2,A173,1,A191,A201
29,SILVER,7,YES,YES,A40,2415,A61,31,A73,1486,44.58,M,Umarried,A103,2,A121,34,A143,A152,1,A173,1,A191,A201
30,BRONZE,60,YES,NO,A49,6836,A61,81,A75,1466,43.98,M,Umarried,A101,4,A124,63,A143,A152,2,A173,1,A192,A201
31,SILVER,18,YES,YES,A49,1913,A64,1106,A72,1432,42.96,M,Married,A101,3,A121,36,A141,A152,1,A173,1,A192,A201
32,BRONZE,24,YES,YES,A40,4020,A61,87,A73,2090,41.8,M,Umarried,A101,2,A123,27,A142,A152,1,A173,1,A191,A201
33,SILVER,18,YES,YES,A40,5866,A62,146,A73,2022,40.44,M,Umarried,A101,2,A123,30,A143,A152,2,A173,1,A192,A201
34,NA,12,YES,NO,A49,1264,A65,NA,A75,816,32.64,M,Umarried,A101,4,A124,57,A143,A151,1,A172,1,A191,A201
35,GOLD,12,YES,YES,A40,1474,A61,56,A72,766,30.64,F,Divorced,A101,1,A122,33,A141,A152,1,A174,1,A192,A201
36,SILVER,45,YES,NO,A40,4746,A61,55,A72,1044,41.76,M,Umarried,A101,2,A122,25,A143,A152,2,A172,1,A191,A201
37,NA,48,YES,NO,A46,6110,A61,72,A73,3107,31.07,M,Umarried,A101,3,A124,31,A141,A153,1,A173,1,A192,A201
38,GOLD,18,YES,YES,A40,2100,A61,62,A73,936,37.44,M,Umarried,A102,2,A121,37,A142,A152,1,A173,1,A191,A201
39,GOLD,10,YES,YES,A40,1225,A61,27,A73,2129,42.58,M,Umarried,A101,2,A123,37,A143,A152,1,A173,1,A192,A201
40,SILVER,9,YES,YES,A40,458,A61,32,A73,966,38.64,M,Umarried,A101,3,A121,24,A143,A152,1,A173,1,A191,A201
41,NA,30,YES,YES,A40,2333,A63,504,A75,1129,45.16,M,Umarried,A101,2,A123,30,A141,A152,1,A174,1,A191,A201
42,SILVER,12,YES,YES,A40,1158,A63,996,A73,1406,42.18,M,Divorced,A101,1,A123,26,A143,A152,1,A173,1,A192,A201
43,SILVER,18,YES,NO,A40,6204,A61,95,A73,2401,48.02,M,Umarried,A101,4,A121,44,A143,A152,1,A172,2,A192,A201
44,BRONZE,30,YES,NO,A40,6187,A62,182,A74,3328,33.28,M,Married,A101,4,A123,24,A143,A151,2,A173,1,A191,A201
45,BRONZE,48,YES,NO,A40,6143,A61,22,A75,1133,45.32,F,Divorced,A101,4,A124,58,A142,A153,2,A172,1,A191,A201
46,NA,11,YES,NO,A40,1393,A61,18,A72,918,36.72,F,Divorced,A101,4,A123,35,A143,A152,2,A174,1,A191,A201
47,NA,36,YES,YES,A40,2299,A63,912,A75,706,28.24,M,Umarried,A101,4,A123,39,A143,A152,1,A173,1,A191,A201
48,BRONZE,6,YES,YES,A40,1352,A63,924,A71,2615,26.15,F,Divorced,A101,2,A122,23,A143,A151,1,A171,1,A192,A201
49,NA,11,YES,NO,A40,7228,A61,14,A73,2752,27.52,M,Umarried,A101,4,A122,39,A143,A152,2,A172,1,A191,A201
50,NA,12,YES,YES,A40,2073,A62,173,A73,958,38.32,F,Divorced,A102,2,A121,28,A143,A152,1,A173,1,A191,A201
51,SILVER,24,YES,NO,A40,2333,A65,NA,A72,700,28,M,Umarried,A101,2,A122,29,A141,A152,1,A172,1,A191,A201
52,SILVER,27,YES,NO,A40,5965,A61,35,A75,3172,31.72,M,Umarried,A101,2,A123,30,A143,A152,2,A174,1,A192,A201
53,NA,12,YES,YES,A40,1262,A61,68,A73,1340,40.2,M,Umarried,A101,2,A123,25,A143,A152,1,A173,1,A191,A201
54,NA,18,YES,YES,A40,3378,A65,NA,A73,1838,36.76,M,Umarried,A101,1,A122,31,A143,A152,1,A173,1,A192,A201
55,SILVER,36,YES,NO,A40,2225,A61,34,A75,794,31.76,M,Umarried,A101,4,A124,57,A141,A153,2,A173,1,A192,A201
56,NA,6,NO,YES,A40,783,A65,NA,A73,2813,28.13,M,Umarried,A103,2,A121,26,A142,A152,1,A172,2,A191,A201
57,SILVER,12,YES,YES,A40,6468,A65,NA,A71,2015,40.3,M,Umarried,A101,1,A124,52,A143,A152,1,A174,1,A192,A201
58,NA,36,YES,NO,A40,9566,A61,79,A73,1820,36.4,F,Divorced,A101,2,A123,31,A142,A152,2,A173,1,A191,A201
59,GOLD,18,YES,YES,A40,1961,A61,95,A75,1521,45.63,F,Divorced,A101,2,A123,23,A143,A152,1,A174,1,A191,A201
60,BRONZE,36,YES,NO,A40,6229,A61,96,A72,944,37.76,F,Divorced,A102,4,A124,23,A143,A151,2,A172,1,A192,A201
61,SILVER,9,YES,YES,A49,1391,A61,56,A73,2158,43.16,M,Married,A101,1,A121,27,A141,A152,1,A173,1,A192,A201
62,SILVER,15,YES,NO,A40,1537,A65,NA,A75,1179,47.16,M,Umarried,A103,4,A121,50,A143,A152,2,A173,1,A192,A201
63,SILVER,36,NO,YES,A49,1953,A61,80,A75,1019,40.76,M,Umarried,A101,4,A124,61,A143,A153,1,A174,1,A192,A201
64,SILVER,48,NO,YES,A49,14421,A61,96,A73,2399,47.98,M,Umarried,A101,2,A123,25,A143,A152,1,A173,1,A192,A201
65,NA,24,YES,YES,A40,3181,A61,1,A72,1077,43.08,F,Divorced,A101,4,A122,26,A143,A152,1,A173,1,A192,A201
66,NA,27,YES,YES,A40,5190,A65,NA,A75,831,33.24,M,Umarried,A101,4,A122,48,A143,A152,4,A173,2,A192,A201
67,NA,12,YES,YES,A40,2171,A61,48,A72,1810,36.2,F,Divorced,A101,2,A123,29,A141,A152,1,A173,1,A191,A201
68,SILVER,12,YES,YES,A40,1007,A64,1849,A73,702,28.08,M,Married,A101,1,A121,22,A143,A152,1,A173,1,A191,A201
69,NA,36,YES,YES,A46,1819,A61,87,A73,760,30.4,M,Umarried,A101,4,A124,37,A142,A153,1,A173,1,A192,A201
70,NA,36,YES,YES,A40,2394,A65,NA,A73,771,30.84,F,Divorced,A101,4,A123,25,A143,A152,1,A173,1,A191,A201
71,NA,36,YES,YES,A40,8133,A61,93,A73,2995,29.95,F,Divorced,A101,2,A122,30,A141,A152,1,A173,1,A191,A201
72,NA,7,YES,NO,A40,730,A65,NA,A75,731,29.24,M,Umarried,A101,2,A122,46,A143,A151,2,A172,1,A192,A201
73,BRONZE,8,YES,NO,A410,1164,A61,93,A75,1697,50.91,M,Umarried,A101,4,A124,51,A141,A153,2,A174,2,A192,A201
74,SILVER,42,YES,NO,A49,5954,A61,50,A74,2018,40.36,F,Divorced,A101,1,A121,41,A141,A152,2,A172,1,A191,A201
75,BRONZE,36,YES,YES,A46,1977,A65,NA,A75,932,37.28,M,Umarried,A101,4,A124,40,A143,A152,1,A174,1,A192,A201
76,BRONZE,12,YES,NO,A40,1526,A61,38,A75,920,36.8,M,Umarried,A101,4,A124,66,A143,A153,2,A174,1,A191,A201
77,BRONZE,42,YES,YES,A40,3965,A61,93,A72,1026,41.04,M,Umarried,A101,3,A123,34,A143,A152,1,A173,1,A191,A201
78,SILVER,11,YES,NO,A40,4771,A61,93,A74,2259,45.18,M,Umarried,A101,4,A122,51,A143,A152,1,A173,1,A191,A201
79,NA,54,NO,YES,A40,9436,A65,NA,A73,2136,42.72,M,Umarried,A101,2,A122,39,A143,A152,1,A172,2,A191,A201
80,SILVER,30,YES,YES,A40,3832,A61,40,A72,2512,50.24,M,Married,A101,1,A122,22,A143,A152,1,A173,1,A191,A201
81,NA,24,YES,YES,A40,5943,A65,NA,A72,2639,26.39,F,Divorced,A101,1,A123,44,A143,A152,2,A173,1,A192,A201
82,NA,15,YES,YES,A40,1213,A63,686,A75,1116,44.64,M,Umarried,A101,3,A122,47,A142,A152,1,A173,1,A192,A201
83,NA,18,YES,YES,A49,1568,A62,107,A73,1246,37.38,F,Divorced,A101,4,A122,24,A143,A151,1,A172,1,A191,A201
84,BRONZE,24,YES,YES,A410,1755,A61,39,A75,1157,46.28,F,Divorced,A103,4,A121,58,A143,A152,1,A172,1,A192,A201
85,BRONZE,10,YES,YES,A40,2315,A61,55,A75,1580,47.4,M,Umarried,A101,4,A121,52,A143,A152,1,A172,1,A191,A201
86,NA,12,YES,NO,A49,1412,A61,97,A73,797,31.88,F,Divorced,A103,2,A121,29,A143,A152,2,A174,1,A192,A201
87,SILVER,18,YES,NO,A40,1295,A61,81,A72,1070,42.8,F,Divorced,A101,1,A122,27,A143,A152,2,A173,1,A191,A201
88,SILVER,36,YES,YES,A46,12612,A62,420,A73,3361,33.61,M,Umarried,A101,4,A124,47,A143,A153,1,A173,2,A192,A201
89,BRONZE,18,YES,YES,A40,2249,A62,158,A74,1150,46,M,Umarried,A101,3,A123,30,A143,A152,1,A174,2,A192,A201
90,BRONZE,12,NO,YES,A40,1108,A61,20,A74,961,38.44,M,Umarried,A101,3,A121,28,A143,A152,2,A173,1,A191,A201
91,NA,12,YES,NO,A40,618,A61,17,A75,950,38,M,Umarried,A101,4,A121,56,A143,A152,1,A173,1,A191,A201
92,BRONZE,12,YES,NO,A40,1409,A61,46,A75,1100,44,M,Umarried,A101,3,A121,54,A143,A152,1,A173,1,A191,A201
93,NA,12,YES,NO,A40,797,A65,NA,A75,1017,40.68,F,Divorced,A101,3,A122,33,A141,A152,1,A172,2,A191,A201
94,GOLD,24,YES,NO,A40,3617,A65,NA,A75,1177,47.08,M,Umarried,A102,4,A124,20,A143,A151,2,A173,1,A191,A201
95,SILVER,12,YES,YES,A40,1318,A64,2660,A75,981,39.24,M,Umarried,A101,4,A121,54,A143,A152,1,A173,1,A192,A201
96,SILVER,54,NO,YES,A49,15945,A61,9,A72,1465,43.95,M,Umarried,A101,4,A124,58,A143,A151,1,A173,1,A192,A201
97,NA,12,YES,NO,A46,2012,A65,NA,A74,854,34.16,F,Divorced,A101,2,A123,61,A143,A152,1,A173,1,A191,A201
98,SILVER,18,YES,YES,A49,2622,A62,390,A73,1100,44,M,Umarried,A101,4,A123,34,A143,A152,1,A173,1,A191,A201
99,SILVER,36,YES,NO,A40,2337,A61,46,A75,1163,46.52,M,Umarried,A101,4,A121,36,A143,A152,1,A173,1,A191,A201
100,SILVER,20,YES,NO,A40,7057,A65,NA,A74,1202,36.06,M,Umarried,A101,4,A122,36,A141,A151,2,A174,2,A192,A201
101,NA,24,YES,YES,A40,1469,A62,121,A75,703,28.12,M,Married,A101,4,A121,41,A143,A151,1,A172,1,A191,A201
102,SILVER,36,YES,YES,A40,2323,A61,89,A74,866,34.64,M,Umarried,A101,4,A123,24,A143,A151,1,A173,1,A191,A201
103,NA,6,YES,NO,A40,932,A61,31,A73,1242,37.26,F,Divorced,A101,2,A121,24,A143,A152,1,A173,1,A191,A201
104,SILVER,9,YES,NO,A40,1919,A61,61,A74,825,33,M,Umarried,A101,3,A123,35,A143,A151,1,A173,1,A192,A201
105,NA,12,YES,YES,A40,2445,A65,NA,A72,1949,38.98,M,Married,A101,4,A123,26,A143,A151,1,A173,1,A192,A201
106,SILVER,24,YES,NO,A410,11938,A61,52,A73,1986,39.72,M,Umarried,A102,3,A123,39,A143,A152,2,A174,2,A192,A201
107,NA,18,NO,YES,A40,6458,A61,98,A75,2397,47.94,M,Umarried,A101,4,A124,39,A141,A152,2,A174,2,A192,A201
108,SILVER,12,YES,YES,A40,6078,A61,46,A74,2199,43.98,M,Umarried,A101,2,A123,32,A143,A152,1,A173,1,A191,A201
109,BRONZE,24,YES,YES,A40,7721,A65,NA,A72,2778,27.78,F,Divorced,A101,2,A122,30,A143,A152,1,A173,1,A192,A202
110,SILVER,14,YES,YES,A49,1410,A63,526,A75,3468,34.68,M,Married,A101,2,A121,35,A143,A152,1,A173,1,A192,A201
111,SILVER,6,YES,NO,A49,1449,A62,312,A75,3070,30.7,M,Divorced,A101,2,A123,31,A141,A152,2,A173,2,A191,A201
112,GOLD,15,YES,YES,A46,392,A61,85,A72,965,38.6,F,Divorced,A101,4,A122,23,A143,A151,1,A173,1,A192,A201
113,SILVER,18,YES,YES,A40,6260,A61,63,A74,1516,45.48,M,Umarried,A101,3,A121,28,A143,A151,1,A172,1,A191,A201
114,NA,36,YES,NO,A40,7855,A61,59,A73,1114,44.56,F,Divorced,A101,2,A121,25,A142,A152,2,A173,1,A192,A201
115,BRONZE,12,YES,YES,A40,1680,A63,696,A75,1226,36.78,M,Married,A101,1,A121,35,A143,A152,1,A173,1,A191,A201
116,NA,48,YES,NO,A40,3578,A65,NA,A75,1157,46.28,M,Umarried,A101,1,A121,47,A143,A152,1,A173,1,A192,A201
117,BRONZE,42,YES,YES,A40,7174,A65,NA,A74,786,31.44,F,Divorced,A101,3,A123,30,A143,A152,1,A174,1,A192,A201
118,BRONZE,10,YES,NO,A40,2132,A65,NA,A72,1915,38.3,F,Divorced,A102,3,A121,27,A143,A151,2,A173,1,A191,A202
119,BRONZE,33,YES,NO,A40,4281,A63,767,A73,2670,26.7,F,Divorced,A101,4,A123,23,A143,A152,2,A173,1,A191,A201
120,SILVER,12,YES,NO,A40,2366,A63,695,A74,1583,47.49,M,Divorced,A101,3,A123,36,A143,A152,1,A174,1,A192,A201
121,BRONZE,21,YES,YES,A40,1835,A61,34,A73,1404,42.12,F,Divorced,A101,2,A121,25,A143,A152,2,A173,1,A192,A201
122,NA,24,YES,NO,A40,3868,A61,21,A75,899,35.96,F,Divorced,A101,2,A123,41,A143,A151,2,A174,1,A192,A201
123,NA,12,YES,YES,A40,1768,A61,55,A73,1261,37.83,M,Umarried,A101,2,A121,24,A143,A151,1,A172,1,A191,A201
124,GOLD,10,YES,NO,A40,781,A61,22,A75,1192,47.68,M,Umarried,A101,4,A124,63,A143,A153,2,A173,1,A192,A201
125,SILVER,18,YES,YES,A40,1924,A65,NA,A72,814,32.56,F,Divorced,A101,3,A121,27,A143,A151,1,A173,1,A191,A201
126,BRONZE,12,YES,NO,A40,2121,A61,6,A73,1054,42.16,M,Umarried,A101,2,A122,30,A143,A152,2,A173,1,A191,A201
127,BRONZE,12,YES,YES,A40,701,A61,63,A73,1036,41.44,M,Married,A101,2,A121,40,A143,A152,1,A172,1,A191,A201
128,SILVER,12,YES,YES,A40,639,A61,98,A73,911,36.44,M,Umarried,A101,2,A123,30,A143,A152,1,A173,1,A191,A201
129,SILVER,12,YES,NO,A40,1860,A61,8,A71,960,38.4,M,Umarried,A101,2,A123,34,A143,A152,2,A174,1,A192,A201
130,BRONZE,12,YES,NO,A40,3499,A61,70,A73,1204,36.12,F,Divorced,A102,2,A121,29,A143,A152,2,A173,1,A191,A201
131,SILVER,48,YES,YES,A40,8487,A65,NA,A74,3384,33.84,F,Divorced,A101,2,A123,24,A143,A152,1,A173,1,A191,A201
132,BRONZE,36,YES,NO,A46,6887,A61,91,A73,1042,41.68,M,Umarried,A101,3,A122,29,A142,A152,1,A173,1,A192,A201
133,NA,15,YES,YES,A40,2708,A61,14,A72,2466,49.32,M,Umarried,A101,3,A122,27,A141,A152,2,A172,1,A191,A201
134,NA,18,YES,YES,A40,1984,A61,71,A73,760,30.4,M,Umarried,A101,4,A124,47,A141,A153,2,A173,1,A191,A201
135,NA,60,YES,YES,A40,10144,A62,381,A74,1916,38.32,F,Divorced,A101,4,A121,21,A143,A152,1,A173,1,A192,A201
136,NA,12,YES,NO,A40,1240,A65,NA,A75,1110,44.4,F,Divorced,A101,2,A121,38,A143,A152,2,A173,1,A192,A201
137,NA,27,YES,NO,A40,8613,A64,2212,A73,2357,47.14,M,Umarried,A101,2,A123,27,A143,A152,2,A173,1,A191,A201
138,SILVER,12,YES,YES,A40,766,A63,830,A73,1049,41.96,M,Umarried,A101,3,A121,66,A143,A152,1,A172,1,A191,A201
139,SILVER,15,YES,NO,A40,2728,A65,NA,A74,954,38.16,M,Umarried,A103,2,A121,35,A141,A152,3,A173,1,A192,A201
140,GOLD,12,YES,YES,A40,1881,A61,96,A73,2537,50.74,F,Divorced,A101,2,A123,44,A143,A151,1,A172,1,A192,A201
141,GOLD,6,YES,YES,A40,709,A64,1539,A72,2367,47.34,M,Married,A101,2,A121,27,A143,A152,1,A171,1,A191,A202
142,SILVER,36,YES,YES,A40,4795,A61,45,A72,797,31.88,F,Divorced,A101,1,A124,30,A143,A152,1,A174,1,A192,A201
143,BRONZE,27,YES,YES,A40,3416,A61,38,A73,1516,45.48,M,Umarried,A101,2,A123,27,A143,A152,1,A174,1,A191,A201
144,BRONZE,18,YES,YES,A40,2462,A61,52,A73,2148,42.96,M,Umarried,A101,2,A123,22,A143,A152,1,A173,1,A191,A201
145,NA,21,YES,NO,A40,2288,A61,45,A72,1044,41.76,F,Divorced,A101,4,A122,23,A143,A152,1,A173,1,A192,A201
146,SILVER,48,NO,YES,A49,3566,A62,439,A74,755,30.2,M,Umarried,A101,2,A123,30,A143,A152,1,A173,1,A191,A201
147,BRONZE,6,YES,NO,A40,860,A61,78,A75,3042,30.42,F,Divorced,A101,4,A124,39,A143,A152,2,A173,1,A192,A201
148,NA,12,YES,NO,A40,682,A62,211,A74,1089,43.56,F,Divorced,A101,3,A123,51,A143,A152,2,A173,1,A192,A201
149,BRONZE,36,YES,NO,A40,5371,A61,2,A73,1273,38.19,M,Umarried,A103,2,A122,28,A143,A152,2,A173,1,A191,A201
150,NA,18,YES,NO,A40,1582,A64,3758,A75,785,31.4,M,Umarried,A101,4,A123,46,A143,A152,2,A173,1,A191,A201
151,NA,6,YES,YES,A40,1346,A62,276,A75,2027,40.54,M,Umarried,A101,4,A124,42,A141,A153,1,A173,2,A192,A201
152,NA,10,YES,YES,A40,1924,A61,49,A73,3231,32.31,M,Umarried,A101,4,A122,38,A143,A152,1,A173,1,A192,A202
153,GOLD,36,YES,YES,A40,5848,A61,70,A73,772,30.88,M,Umarried,A101,1,A123,24,A143,A152,1,A173,1,A191,A201
154,SILVER,24,YES,NO,A40,7758,A64,1302,A75,1992,39.84,F,Divorced,A101,4,A124,29,A143,A151,1,A173,1,A191,A201
155,SILVER,24,YES,NO,A49,6967,A62,104,A74,903,36.12,M,Umarried,A101,4,A123,36,A143,A151,1,A174,1,A192,A201
156,BRONZE,12,YES,YES,A40,1282,A61,56,A73,2365,47.3,F,Divorced,A101,4,A123,20,A143,A151,1,A173,1,A191,A201
157,BRONZE,9,YES,NO,A40,1288,A62,402,A75,1448,43.44,M,Umarried,A103,4,A121,48,A143,A152,2,A173,2,A191,A202
158,BRONZE,12,NO,YES,A48,339,A61,58,A75,941,37.64,M,Married,A101,1,A123,45,A141,A152,1,A172,1,A191,A201
159,SILVER,24,YES,YES,A40,3512,A62,183,A74,1850,37,M,Umarried,A101,3,A123,38,A141,A152,2,A173,1,A192,A201
160,NA,6,YES,NO,A40,1898,A65,NA,A73,3269,32.69,M,Umarried,A101,2,A121,34,A143,A152,2,A172,2,A191,A201
161,NA,24,YES,NO,A40,2872,A62,353,A75,1268,38.04,M,Umarried,A101,4,A121,36,A143,A152,1,A173,2,A192,A201
162,NA,18,YES,NO,A40,1055,A61,23,A72,910,36.4,F,Divorced,A101,1,A122,30,A143,A152,2,A173,1,A191,A201
163,NA,15,YES,YES,A40,1262,A63,961,A74,873,34.92,M,Umarried,A101,3,A122,36,A143,A152,2,A173,1,A192,A201
164,SILVER,10,YES,YES,A40,7308,A61,77,A71,2274,45.48,M,Umarried,A101,4,A124,70,A141,A153,1,A174,1,A192,A201
165,NA,36,YES,YES,A40,909,A63,854,A75,831,33.24,M,Umarried,A101,4,A122,36,A143,A152,1,A173,1,A191,A201
166,NA,6,YES,YES,A40,2978,A63,943,A73,2943,29.43,M,Umarried,A101,2,A123,32,A143,A152,1,A173,1,A192,A201
167,BRONZE,18,YES,YES,A40,1131,A61,15,A71,1077,43.08,F,Divorced,A101,2,A123,33,A143,A152,1,A173,1,A191,A201
168,SILVER,11,YES,YES,A40,1577,A64,3791,A72,1077,43.08,F,Divorced,A101,1,A121,20,A143,A152,1,A173,1,A191,A201
169,NA,24,YES,YES,A40,3972,A61,46,A74,2529,50.58,F,Divorced,A101,4,A122,25,A143,A151,1,A173,1,A192,A201
170,SILVER,24,YES,NO,A49,1935,A61,9,A75,1052,42.08,M,Divorced,A101,4,A121,31,A143,A152,2,A173,1,A192,A201
171,BRONZE,15,NO,YES,A40,950,A61,17,A75,1127,45.08,M,Umarried,A101,3,A123,33,A143,A151,2,A173,2,A191,A201
172,NA,12,YES,YES,A40,763,A61,45,A73,885,35.4,F,Divorced,A101,1,A121,26,A143,A152,1,A173,1,A192,A201
173,SILVER,24,YES,NO,A40,2064,A61,45,A71,1594,47.82,F,Divorced,A101,2,A122,34,A143,A152,1,A174,1,A192,A201
